id,char_diff,original_text,cleaned_text
361,35,"Art. 175/4. (oud artikel 131) § 1. Het begeleidingscomité moet er op toezien dat de studiegelastigde een volledige en kwaliteitsvolle studie levert. Het bestaat uit één vertegenwoordiger van iedere gemeente op wier grondgebied het project moet worden uitgevoerd, één vertegenwoordiger van het Brussels Instituut voor Milieubeheer één vertegenwoordiger van Brussel Mobiliteit en één vertegenwoordiger van het bestuur belast met stedenbouw. Het begeleidingscomité kan andere instanties of experts uitnodigen om deel te nemen aan zijn werkzaamheden, zonder dat deze instanties of experts stemgerechtigd zijn § 2. De Regering bepaalt de samenstelling en de werking van het begeleidingscomité, alsook de onverenigbaarheidsregels","Het begeleidingscomité moet er op toezien dat de studiegelastigde een volledige en kwaliteitsvolle studie levert. Het bestaat uit één vertegenwoordiger van iedere gemeente op wier grondgebied het project moet worden uitgevoerd, één vertegenwoordiger van het Brussels Instituut voor Milieubeheer één vertegenwoordiger van Brussel Mobiliteit en één vertegenwoordiger van het bestuur belast met stedenbouw. Het begeleidingscomité kan andere instanties of experts uitnodigen om deel te nemen aan zijn werkzaamheden, zonder dat deze instanties of experts stemgerechtigd zijn § 2. De Regering bepaalt de samenstelling en de werking van het begeleidingscomité, alsook de onverenigbaarheidsregels"
362,35,"Art. 175/5. (oud artikel 132) § 1. Gelijktijdig met de verzending van het ontvangstbewijs voor het volledige dossier bedoeld in artikel 176, convoceert het bestuur belast met stedenbouw het begeleidingscomité. Binnen vijftien dagen na verzending van het ontvangstbewijs voor het volledige dossier bedoeld in artikel 176, stelt het begeleidingscomité de vergunningaanvrager in kennis van zijn beslissing aangaande de volgende punten : 1° voor elke factor bedoeld in artikel 175/1, § 2, het of de geografische gebied(en) dat onderzocht moet worden in de effectenstudie en, in voorkomend geval, de informatie bedoeld in artikel 175/8, eerste lid, 6° ; 2° het alternatief of de alternatieven en/of variant(en) die in de effectenstudie beoordeeld moet(en) worden; 3° de termijn waarin de effectenstudie afgesloten moet worden, met dien verstande dat, tenzij in behoorlijk gemotiveerde uitzonderlijke omstandigheden, verbonden met de te beoordelen effecten, deze termijn niet langer mag zijn dan zes maanden vanaf de verzendingsdatum van de beslissing van het begeleidingscomité; 4° de keuze van de opdrachthouder van de studie § 2. Indien het begeleidingscomité niet instemt met de keuze van de opdrachthouder, verzoekt het de aanvrager nieuwe voorstellen te doen. Het begeleidingscomité spreekt zich uit over de keuze van de opdrachthouder en brengt zijn beslissing ter kennis van de aanvrager, binnen vijftien dagen na de ontvangst van de nieuwe voorstellen. § 3. De Regering erkent, met toepassing van artikel 70 en volgende van de ordonnantie van 5 juni 1997 betreffende de [1 milieuvergunningen]1, de publiekrechtelijke of privaatrechtelijke natuurlijke of rechtspersonen die als opdrachthouder kunnen worden aangewezen","Gelijktijdig met de verzending van het ontvangstbewijs voor het volledige dossier bedoeld in artikel 176, convoceert het bestuur belast met stedenbouw het begeleidingscomité. Binnen vijftien dagen na verzending van het ontvangstbewijs voor het volledige dossier bedoeld in artikel 176, stelt het begeleidingscomité de vergunningaanvrager in kennis van zijn beslissing aangaande de volgende punten : 1° voor elke factor bedoeld in artikel 175/1, § 2, het of de geografische gebied(en) dat onderzocht moet worden in de effectenstudie en, in voorkomend geval, de informatie bedoeld in artikel 175/8, eerste lid, 6° ; 2° het alternatief of de alternatieven en/of variant(en) die in de effectenstudie beoordeeld moet(en) worden; 3° de termijn waarin de effectenstudie afgesloten moet worden, met dien verstande dat, tenzij in behoorlijk gemotiveerde uitzonderlijke omstandigheden, verbonden met de te beoordelen effecten, deze termijn niet langer mag zijn dan zes maanden vanaf de verzendingsdatum van de beslissing van het begeleidingscomité; 4° de keuze van de opdrachthouder van de studie § 2. Indien het begeleidingscomité niet instemt met de keuze van de opdrachthouder, verzoekt het de aanvrager nieuwe voorstellen te doen. Het begeleidingscomité spreekt zich uit over de keuze van de opdrachthouder en brengt zijn beslissing ter kennis van de aanvrager, binnen vijftien dagen na de ontvangst van de nieuwe voorstellen. § 3. De Regering erkent, met toepassing van artikel 70 en volgende van de ordonnantie van 5 juni 1997 betreffende de [1 milieuvergunningen]1, de publiekrechtelijke of privaatrechtelijke natuurlijke of rechtspersonen die als opdrachthouder kunnen worden aangewezen"
367,31,"Art. 175/10. (oud artikel 137) Wanneer het begeleidingscomité van oordeel is dat de effectenstudie volledig is, moet het binnen dertig dagen na ontvangst van bedoelde studie : 1° de effectenstudie sluiten : 2° [1 de lijst vastleggen van de gemeenten van het Gewest betrokken bij de gevolgen van het project]1 en waarin het openbaar onderzoek moet plaatshebben; 3° zijn beslissing aan de aanvrager ter kennis brengen met opgave van het aantal exemplaren van het in artikel 175/13, bedoelde dossier die aan het bestuur belast met stedenbouw geleverd moeten worden met het oog op het openbaar onderzoek. Indien het begeleidingscomité beslist dat de effectenstudie niet in overeenstemming is met het bestek, deelt het binnen dezelfde termijn aan de aanvrager mede welke aanvullende elementen bestudeerd moeten worden of welke wijzigingen in de studie moeten worden aangebracht en verantwoordt het zijn beslissing. In dit geval deelt het aan de aanvrager [1 de termijn mee binnen dewelke deze overgemaakt moeten worden]1. Indien het begeleidingscomité de termijn bedoeld in het eerste en in het tweede lid niet in acht neemt, kan de aanvrager zijn dossier bij de Regering aanhangig maken. Hij kan dit eveneens wanneer de beslissing van het begeleidingscomité de effectenstudie onvolledig verklaart. De Regering treedt in de plaats van het begeleidingscomité. De Regering deelt haar beslissing mede binnen dertig dagen na de aanhangigmaking","Wanneer het begeleidingscomité van oordeel is dat de effectenstudie volledig is, moet het binnen dertig dagen na ontvangst van bedoelde studie : 1° de effectenstudie sluiten : 2° [1 de lijst vastleggen van de gemeenten van het Gewest betrokken bij de gevolgen van het project]1 en waarin het openbaar onderzoek moet plaatshebben; 3° zijn beslissing aan de aanvrager ter kennis brengen met opgave van het aantal exemplaren van het in artikel 175/13, bedoelde dossier die aan het bestuur belast met stedenbouw geleverd moeten worden met het oog op het openbaar onderzoek. Indien het begeleidingscomité beslist dat de effectenstudie niet in overeenstemming is met het bestek, deelt het binnen dezelfde termijn aan de aanvrager mede welke aanvullende elementen bestudeerd moeten worden of welke wijzigingen in de studie moeten worden aangebracht en verantwoordt het zijn beslissing. In dit geval deelt het aan de aanvrager [1 de termijn mee binnen dewelke deze overgemaakt moeten worden]1. Indien het begeleidingscomité de termijn bedoeld in het eerste en in het tweede lid niet in acht neemt, kan de aanvrager zijn dossier bij de Regering aanhangig maken. Hij kan dit eveneens wanneer de beslissing van het begeleidingscomité de effectenstudie onvolledig verklaart. De Regering treedt in de plaats van het begeleidingscomité. De Regering deelt haar beslissing mede binnen dertig dagen na de aanhangigmaking"
368,31,"Art. 175/11. (oud artikel 138) De aanvrager wordt geacht zijn aanvraag te behouden tenzij hij, binnen vijftien dagen na de bekendmaking van de beslissing van het begeleidingscomité, of bij ontstentenis de Regering om de studie te sluiten, het bestuur balast met stedenbouw op de hoogte brengt van zijn beslissing : 1° hetzij om zijn aanvraag in te trekken; 2° hetzij om ze te wijzigen zodat het project verenigbaar is met de besluiten van de effectenstudie","De aanvrager wordt geacht zijn aanvraag te behouden tenzij hij, binnen vijftien dagen na de bekendmaking van de beslissing van het begeleidingscomité, of bij ontstentenis de Regering om de studie te sluiten, het bestuur balast met stedenbouw op de hoogte brengt van zijn beslissing : 1° hetzij om zijn aanvraag in te trekken; 2° hetzij om ze te wijzigen zodat het project verenigbaar is met de besluiten van de effectenstudie"
370,31,"Art. 175/13. (oud artikel 140) Het aan het openbaar onderzoek onderworpen dossier moet bestaan uit : 1° de aanvankelijke vergunningsaanvraag; 2° het typebestek van de effectenstudie, vastgesteld door de Regering; 2° /1 de in artikel 175/5, § 1 bedoelde beslissing van het begeleidingscomité of, in voorkomend geval, de in artikel 175/6 bedoelde beslissing van de Regering; 3° de effectenstudie; 4° de beslissing tot afsluiting van de effectenstudie; 5° in voorkomend geval, de beslissing van de aanvrager om de aanvraag om vergunning te bevestigen of te wijzigen of de vaststelling dat de in artikel 175/11 bedoelde termijn van vijftien dagen overschreden is; 6° [1 de in artikel 175/12 aangehaalde eventuele wijzigingen aan de aanvraag om vergunning","Het aan het openbaar onderzoek onderworpen dossier moet bestaan uit : 1° de aanvankelijke vergunningsaanvraag; 2° het typebestek van de effectenstudie, vastgesteld door de Regering; 2° /1 de in artikel 175/5, § 1 bedoelde beslissing van het begeleidingscomité of, in voorkomend geval, de in artikel 175/6 bedoelde beslissing van de Regering; 3° de effectenstudie; 4° de beslissing tot afsluiting van de effectenstudie; 5° in voorkomend geval, de beslissing van de aanvrager om de aanvraag om vergunning te bevestigen of te wijzigen of de vaststelling dat de in artikel 175/11 bedoelde termijn van vijftien dagen overschreden is; 6° [1 de in artikel 175/12 aangehaalde eventuele wijzigingen aan de aanvraag om vergunning"
371,36,"Art. 175/14. (oud artikel 141) § 1. Binnen vijftien dagen na ontvangst van het dossier, het college van burgemeester en schepenen van elke betrokken gemeente onderwerpt het dossier aan de speciale regelen van openbaarmaking. Het openbaar onderzoek verloopt in elke gemeente en duurt dertig dagen. Het Bestuur bepaalt de datum waarop de verschillende openbare onderzoeken uiterlijk moeten worden gesloten. § 2. Het college van burgemeester en schepenen van de gemeente op wier grondgebied het belangrijkste gedeelte van het project moet worden uitgevoerd, maakt het dossier aanhangig bij de overlegcommissie die uitgebreid wordt met de vertegenwoordigers van elke gemeente die betrokken is bij de effecten van het project, binnen vijftien dagen na de sluiting van het openbaar onderzoek. De overlegcommissie brengt haar advies uit bij het bestuur belast met stedenbouw en bij het college van burgemeester en schepenen binnen vijfenveertig dagen na de beëindiging van het openbaar onderzoek. Wanneer de overlegcommissie haar advies niet kenbaar heeft gemaakt binnen de gestelde termijn, wordt de procedure voortgezet zonder dat er rekening moet worden gehouden met een advies dat wordt uitgebracht na de termijn","Binnen vijftien dagen na ontvangst van het dossier, het college van burgemeester en schepenen van elke betrokken gemeente onderwerpt het dossier aan de speciale regelen van openbaarmaking. Het openbaar onderzoek verloopt in elke gemeente en duurt dertig dagen. Het Bestuur bepaalt de datum waarop de verschillende openbare onderzoeken uiterlijk moeten worden gesloten. § 2. Het college van burgemeester en schepenen van de gemeente op wier grondgebied het belangrijkste gedeelte van het project moet worden uitgevoerd, maakt het dossier aanhangig bij de overlegcommissie die uitgebreid wordt met de vertegenwoordigers van elke gemeente die betrokken is bij de effecten van het project, binnen vijftien dagen na de sluiting van het openbaar onderzoek. De overlegcommissie brengt haar advies uit bij het bestuur belast met stedenbouw en bij het college van burgemeester en schepenen binnen vijfenveertig dagen na de beëindiging van het openbaar onderzoek. Wanneer de overlegcommissie haar advies niet kenbaar heeft gemaakt binnen de gestelde termijn, wordt de procedure voortgezet zonder dat er rekening moet worden gehouden met een advies dat wordt uitgebracht na de termijn"
374,31,"Art. 175/17. (oud artikel 144) De gemachtigde ambtenaar controleert de volledigheid van het effectenverslag in het kader van zijn onderzoek van de volledigheid van het dossier, overeenkomstig artikel 176, derde lid en volgende","De gemachtigde ambtenaar controleert de volledigheid van het effectenverslag in het kader van zijn onderzoek van de volledigheid van het dossier, overeenkomstig artikel 176, derde lid en volgende"
377,36,"Art. 175/20. (oud artikel 147) § 1. Het college van burgemeester en schepenen van elke betrokken gemeente onderwerpt het dossier aan de speciale regelen van openbaarmaking binnen vijftien dagen na de ontvangst van het dossier. Het openbaar onderzoek wordt in elke gemeente gehouden en duurt dertig dagen. Het bestuur belast met stedenbouw bepaalt de datum waarop de verschillende openbare onderzoeken uiterlijk moeten gesloten worden. § 2. Het college van burgemeester en schepenen van de gemeente op wier grondgebied het belangrijkste gedeelte van het project moet worden uitgevoerd, maakt binnen vijftien dagen na de sluiting van het openbaar onderzoek het dossier aanhangig bij [1 de overlegcommissie die uitgebreid wordt met de vertegenwoordigers]1 van elke gemeente die betrokken is bij de effecten van het project. De overlegcommissie brengt haar advies uit binnen vijfenveertig dagen na het beëindigen van het openbaar onderzoek. Wanneer de overlegcommissie haar advies niet kenbaar heeft gemaakt binnen de in het voorgaande lid voorziene termijn van vijfenveertig dagen, wordt de procedure voortgezet zonder dat rekening moet worden gehouden met het advies uitgebracht na deze termijn De gemeente bezorgt de gemachtigde ambtenaar een afschrift van het advies van de overlegcommissie en publiceert dit advies tegelijkertijd op haar website","Het college van burgemeester en schepenen van elke betrokken gemeente onderwerpt het dossier aan de speciale regelen van openbaarmaking binnen vijftien dagen na de ontvangst van het dossier. Het openbaar onderzoek wordt in elke gemeente gehouden en duurt dertig dagen. Het bestuur belast met stedenbouw bepaalt de datum waarop de verschillende openbare onderzoeken uiterlijk moeten gesloten worden. § 2. Het college van burgemeester en schepenen van de gemeente op wier grondgebied het belangrijkste gedeelte van het project moet worden uitgevoerd, maakt binnen vijftien dagen na de sluiting van het openbaar onderzoek het dossier aanhangig bij [1 de overlegcommissie die uitgebreid wordt met de vertegenwoordigers]1 van elke gemeente die betrokken is bij de effecten van het project. De overlegcommissie brengt haar advies uit binnen vijfenveertig dagen na het beëindigen van het openbaar onderzoek. Wanneer de overlegcommissie haar advies niet kenbaar heeft gemaakt binnen de in het voorgaande lid voorziene termijn van vijfenveertig dagen, wordt de procedure voortgezet zonder dat rekening moet worden gehouden met het advies uitgebracht na deze termijn De gemeente bezorgt de gemachtigde ambtenaar een afschrift van het advies van de overlegcommissie en publiceert dit advies tegelijkertijd op haar website"
378,36,"Art. 175/21. (oud artikel 148) § 1. In uitzonderlijke omstandigheden kan de overlegcommissie in een bijzonder met redenen omkleed advies, de Regering aanbevelen een effectenstudie te laten verrichten. Onder uitzonderlijke omstandigheden moet worden begrepen elk aanzienlijk negatief effect dat een project, opgenomen in bijlage B, kan hebben op een of meer van de factoren, opgenomen in artikel 175/1, § 2, en waarvan de vermoedelijke omvang van dien aard is dat het gerechtvaardigd is om een effectenbeoordeling van het project te laten opmaken door een erkende opdrachthouder voor effectenstudies, onder toezicht van een begeleidingscomité § 2. Wanneer de Regering van mening is dat een effectenstudie dient te worden verricht, brengt ze haar beslissing ter kennis van de aanvrager en van de gemachtigde ambtenaar binnen dertig dagen vanaf de ontvangst van het dossier. In dit geval wordt de procedure voortgezet overeenkomstig artikelen 175/5 en volgende § 2/1. Wanneer de Regering een dergelijke studie niet geschikt acht, omkleedt zij haar beslissing met redenen en zendt zij het dossier binnen de in het eerste lid van § 2 bedoelde termijn aan de uitreikende overheid. § 3. Het stilzwijgen van de Regering na het verstrijken van de in § 2 bedoelde termijn geldt als een weigering om de effectenstudie te laten uitvoeren. § 4. Wanneer de effectenstudie is uitgevoerd, moet het dossier dat overeenkomstig artikel 175/13, aan het openbaar onderzoek wordt onderworpen, bovendien volgende gegevens bevatten : 1° de bezwaren en de opmerkingen die in het kader van het in artikelen 175/19 en 175/20, bedoelde openbaar onderzoek aan het college van burgemeester en schepenen werden gericht, alsmede het proces-verbaal van sluiting van dit onderzoek; 2° de notulen van de overlegcommissie; 3° het in § 1 bedoeld advies van de overlegcommissie","In uitzonderlijke omstandigheden kan de overlegcommissie in een bijzonder met redenen omkleed advies, de Regering aanbevelen een effectenstudie te laten verrichten. Onder uitzonderlijke omstandigheden moet worden begrepen elk aanzienlijk negatief effect dat een project, opgenomen in bijlage B, kan hebben op een of meer van de factoren, opgenomen in artikel 175/1, § 2, en waarvan de vermoedelijke omvang van dien aard is dat het gerechtvaardigd is om een effectenbeoordeling van het project te laten opmaken door een erkende opdrachthouder voor effectenstudies, onder toezicht van een begeleidingscomité § 2. Wanneer de Regering van mening is dat een effectenstudie dient te worden verricht, brengt ze haar beslissing ter kennis van de aanvrager en van de gemachtigde ambtenaar binnen dertig dagen vanaf de ontvangst van het dossier. In dit geval wordt de procedure voortgezet overeenkomstig artikelen 175/5 en volgende § 2/1. Wanneer de Regering een dergelijke studie niet geschikt acht, omkleedt zij haar beslissing met redenen en zendt zij het dossier binnen de in het eerste lid van § 2 bedoelde termijn aan de uitreikende overheid. § 3. Het stilzwijgen van de Regering na het verstrijken van de in § 2 bedoelde termijn geldt als een weigering om de effectenstudie te laten uitvoeren. § 4. Wanneer de effectenstudie is uitgevoerd, moet het dossier dat overeenkomstig artikel 175/13, aan het openbaar onderzoek wordt onderworpen, bovendien volgende gegevens bevatten : 1° de bezwaren en de opmerkingen die in het kader van het in artikelen 175/19 en 175/20, bedoelde openbaar onderzoek aan het college van burgemeester en schepenen werden gericht, alsmede het proces-verbaal van sluiting van dit onderzoek; 2° de notulen van de overlegcommissie; 3° het in § 1 bedoeld advies van de overlegcommissie"
398,31,"Art. 188/10. (oud artikel 152) De gemachtigde ambtenaar of de Regering, wanneer deze bevoegd is om te beslissen over de aanvraag, kan, na een schriftelijke herinnering, een ambtenaar van het bestuur belast met stedenbouw ermee belasten zich naar het bevoegd gemeentebestuur te begeven om, op kosten van deze laatste, de in artikel 188/7 bedoelde wettelijke verplichtingen, die nog niet nagekomen zouden zijn binnen vijftien dagen na de herinnering, te laten uitvoeren. Wanneer het gemeentebestuur verzuimt de kosten te betalen, kan de terugvordering ervan worden toevertrouwd aan de door de regering aangewezen ambtenaar. Deze ambtenaar kan dan een dwangbevel uitvaardigen. Het uitgevaardigde dwangbevel wordt door voornoemde ambtenaar geviseerd en uitvoerbaar verklaard","De gemachtigde ambtenaar of de Regering, wanneer deze bevoegd is om te beslissen over de aanvraag, kan, na een schriftelijke herinnering, een ambtenaar van het bestuur belast met stedenbouw ermee belasten zich naar het bevoegd gemeentebestuur te begeven om, op kosten van deze laatste, de in artikel 188/7 bedoelde wettelijke verplichtingen, die nog niet nagekomen zouden zijn binnen vijftien dagen na de herinnering, te laten uitvoeren. Wanneer het gemeentebestuur verzuimt de kosten te betalen, kan de terugvordering ervan worden toevertrouwd aan de door de regering aangewezen ambtenaar. Deze ambtenaar kan dan een dwangbevel uitvaardigen. Het uitgevaardigde dwangbevel wordt door voornoemde ambtenaar geviseerd en uitvoerbaar verklaard"
